,VW,VW_PREF,spread,spread_rolling_mean,spread_rolling_std,spread_rolling_z_score,Trade,Returns
1998,167.426,182.89,-0.08455355678276559,-0.09298698184884903,0.00586827933508868,1.4371205909808646,0.0,0.0
1999,164.393,177.389,-0.07326271640293372,-0.09230583420365404,0.007243286311047489,2.6290715267841454,0.0,0.0
2000,162.549,176.515,-0.07912075461008969,-0.09152019880344373,0.007786464956838257,1.5924356254200505,1.0,0.006417246786162796
2001,160.799,174.316,-0.07754308267743636,-0.0907412185184452,0.008374797061592016,1.575935004029809,1.0,-0.0015747125122897165
2002,164.06,176.615,-0.07108682727967616,-0.08951153827279432,0.009359105568347122,1.96864015033993,1.0,-0.006688182513178341
2003,159.192,173.186,-0.08080329818807525,-0.08855444316377606,0.009213593514169588,0.8412727307516145,1.0,0.011164314135106875
2004,158.176,170.861,-0.07424163501325641,-0.08716620480468698,0.009171675402203629,1.4091830799338205,1.0,-0.0070016479179496076
2005,155.762,168.387,-0.0749760967295575,-0.08597964186817034,0.009134996063073992,1.2045484270203464,1.0,0.0010183971344815048
2006,153.768,166.222,-0.07492389695708154,-0.0849425571117253,0.009154854554742135,1.0943549233618546,1.0,0.00011030045173551425
2007,150.123,163.163,-0.07992007992008004,-0.08401439186507088,0.008636085014471143,0.47409352016916967,1.0,0.005876990856548504
2008,152.509,166.107,-0.08186289560343642,-0.08328509502167272,0.008131917196169904,0.1748910354013633,1.0,0.0023983280577168364
2009,158.328,169.044,-0.0633917796550011,-0.08189821536704953,0.00903844440543339,2.0475244280889116,1.0,-0.019071442882918014
2010,151.757,162.326,-0.06510971748210384,-0.08069940698141928,0.009607081546289852,1.622728965523979,1.0,0.0035583528752493043
2011,149.585,160.683,-0.06906766739480832,-0.0797841519744073,0.009807714716054941,1.0926586763434714,1.0,0.004398565340930189
2012,151.135,160.658,-0.059274981638013646,-0.07767171017360353,0.00942113773402484,1.952707736046498,1.0,-0.010411317473594231
2013,154.046,161.962,-0.048875662192366096,-0.07541590371616239,0.01063136611120259,2.4964093274739207,1.0,-0.010780332459626433
2014,157.797,168.24,-0.06207203994293873,-0.07381984015437933,0.010077288735530682,1.1657699327419286,1.0,0.01499113117087247
2015,150.342,161.719,-0.07035042264668952,-0.07285888901630821,0.009389247678300017,0.26716372339566097,1.0,0.010826837160299516
2016,151.938,160.0,-0.05038750000000007,-0.07125555828965431,0.010352937672463937,2.0156654033721977,1.0,-0.02113383342765833
2017,146.226,153.891,-0.04980798097354616,-0.0695316296044928,0.010923745632450502,1.8055756051619147,1.0,0.0008815705654259889
2018,141.204,148.951,-0.052010392679471676,-0.06790447139932812,0.010991907848737647,1.445979982599816,1.0,0.0034649220522167193
2019,143.834,150.664,-0.045332660755057506,-0.0665079686169343,0.012003048232943476,1.764160857386143,1.0,-0.0067845410782728065
2020,147.292,152.853,-0.036381359868631995,-0.06437099887986142,0.013366469363742733,2.09401886538212,1.0,-0.008948156379255093
2021,149.754,155.281,-0.03559353687830459,-0.062273521589904825,0.014439051342632547,1.8477657623409978,1.0,-0.000555752752643468
2022,147.651,152.077,-0.029103677742196306,-0.06017436411303084,0.01605200891063312,1.9356260355831718,1.0,-0.006390514990514613
2023,149.246,155.139,-0.037985290610355875,-0.05803346373414486,0.01601118981157261,1.2521351229812114,1.0,0.009447483520114743
2024,147.018,154.779,-0.05014246118659505,-0.056828505042811804,0.015629476841596174,0.4277842389722582,1.0,0.012834107237949359
2025,147.119,153.281,-0.040200677187648866,-0.05508973406571638,0.01543750297751336,0.9644731340136595,1.0,-0.01036483461015491
2026,144.859,152.669,-0.0511564233734419,-0.05390136038653439,0.01472885771253711,0.1863645549889463,1.0,0.011608710829150985
2027,146.661,155.599,-0.05744252855095463,-0.05277748281807811,0.013440218182033867,-0.3470959823488943,1.0,0.0069050080577093935
2028,147.141,157.181,-0.06387540478811064,-0.05187810827731183,0.011905715068821664,-1.0076922252420586,0.0,0.0
2029,151.539,160.983,-0.058664579489759894,-0.05164174826904977,0.011710429936269372,-0.5997073770074925,0.0,0.0
2030,152.435,162.598,-0.0625038438357176,-0.051511454586730454,0.011566304538924571,-0.950380409922114,0.0,0.0
2031,149.658,155.188,-0.03563419852050417,-0.049839781143015245,0.011308556199521905,1.256180043842524,0.0,0.0
2032,145.416,152.261,-0.044955701065932836,-0.0491238171144112,0.01113166314488001,0.3744378530170925,0.0,0.0
2033,141.023,148.76,-0.05200994891099755,-0.04928053145034278,0.011150033163204726,-0.2447900755723209,0.0,0.0
2034,141.271,147.906,-0.0448595729720229,-0.048419908101796985,0.010768497634206415,0.3306250556683587,0.0,0.0
2035,140.849,148.121,-0.049094996658137734,-0.0473571368023694,0.009459522921979279,-0.18371538079688995,0.0,0.0
2036,140.549,146.546,-0.04092230425941333,-0.04688387701534006,0.009536393935432926,0.6251391035532018,0.0,0.0
2037,150.583,158.629,-0.05072212521039654,-0.04692958422718258,0.009553322262597145,-0.39698660622623305,0.0,0.0
2038,148.483,156.743,-0.05269772812820982,-0.04696395099961949,0.009573776153312055,-0.5989044486492118,0.0,0.0
2039,149.511,161.719,-0.0754889654276863,-0.048471766233250925,0.01148690744769193,-2.351999379943115,0.0,0.0
2040,150.319,160.237,-0.061895816821333445,-0.049747489080886,0.011490292570997587,-1.0572687914936816,-1.0,0.014245120993316499
2041,157.78,166.385,-0.051717402410072964,-0.050553682357474414,0.011000136093805563,-0.10579142318556121,-1.0,0.009611833369138532
2042,154.159,160.981,-0.042377671899168246,-0.05121738206532302,0.009992079469938124,0.8846717235135751,-1.0,0.011806399874757956
2043,153.748,161.119,-0.04574879436937921,-0.05160555725327418,0.00959384396404513,0.6104709338451173,0.0,0.0
2044,155.785,163.543,-0.04743706548124964,-0.051470287468006914,0.009634545064449954,0.41862090630924226,0.0,0.0
2045,153.74,162.307,-0.052782689594410466,-0.05209938808834499,0.009263589292548977,-0.07376206829625762,0.0,0.0
2046,155.441,163.104,-0.04698229350598398,-0.051890681594972086,0.00933271538176398,0.5259335454051286,0.0,0.0
2047,162.106,167.371,-0.03145706245406919,-0.05059140829012783,0.010279871788321725,1.8613409028890697,0.0,0.0
2048,160.949,167.191,-0.03733454551979467,-0.04926436532671202,0.010187449716298707,1.1710310371231636,0.0,0.0
2049,159.674,169.302,-0.05686879068174024,-0.04917457588631104,0.010107840933799983,-0.7612124929370659,0.0,0.0
2050,161.828,168.871,-0.041706391269075244,-0.048134703257978924,0.00972700585257324,0.66087263504659,0.0,0.0
2051,162.457,170.917,-0.04949770941451118,-0.048827878802679275,0.009272663657052626,-0.07223713019316153,0.0,0.0
2052,159.944,167.182,-0.04329413453601464,-0.04874480047618336,0.009316521995208523,0.5850537295969453,0.0,0.0
2053,155.338,161.643,-0.039005710114264194,-0.0480945885363467,0.00952803960368648,0.9539085478366335,0.0,0.0
2054,152.378,158.424,-0.03816340958440653,-0.04775978036696588,0.009762463813713552,0.9829865662681497,0.0,0.0
2055,157.113,163.175,-0.037150298759001145,-0.04716254547200905,0.010037961634183998,0.9974382327694378,0.0,0.0
2056,152.957,163.482,-0.06438017641085872,-0.048335439079581315,0.010623819855398316,-1.5102606736243311,0.0,0.0
2057,155.022,166.99,-0.07166896221330629,-0.049382780929726804,0.01183497037152585,-1.8830787559213966,0.0,0.0
2058,156.709,167.974,-0.06706395037327198,-0.05010109204197991,0.012465910170258174,-1.3607396571622143,0.0,0.0
2059,158.608,170.739,-0.07104996515148852,-0.04987914202817002,0.01202170262138434,-1.7610503096008714,0.0,0.0
2060,159.188,169.943,-0.06328592528082959,-0.049948647451144836,0.012098608202785528,-1.1023811670018406,0.0,0.0
2061,154.856,165.259,-0.0629496729376312,-0.050510260977522745,0.012440891961128705,-0.9998810373866375,0.0,0.0
2062,162.151,174.241,-0.06938665411699889,-0.05186071008841427,0.012966444587955208,-1.3516383700790902,0.0,0.0
2063,164.263,178.663,-0.08059866900253553,-0.05360320382007209,0.014367789451067151,-1.8788878605440853,0.0,0.0
2064,167.224,182.922,-0.08581799892850508,-0.055522250492434866,0.015974240876032487,-1.8965375989494129,0.0,0.0
2065,164.29,179.861,-0.08657240869337988,-0.05721173644738333,0.01739308836456716,-1.688065490761808,0.0,0.0
2066,164.695,181.817,-0.09417161211547882,-0.05957120237785808,0.019053829910992696,-1.8159293905346967,0.0,0.0
2067,165.75,182.018,-0.08937577602215166,-0.06246713805626221,0.018957152696290124,-1.4194451243279491,0.0,0.0
2068,164.647,180.148,-0.08604591780091927,-0.06490270667031843,0.018685444498221827,-1.131533752521269,0.0,0.0
2069,165.603,180.637,-0.08322768867950636,-0.06622065157020673,0.019015634108154933,-0.894371284836938,0.0,0.0
2070,163.972,177.972,-0.07866405951497989,-0.06806853498250197,0.01828990007631359,-0.5793101377409763,0.0,0.0
2071,164.374,179.388,-0.08369567641090825,-0.06977843333232182,0.018059471040283177,-0.7706340372618244,0.0,0.0
2072,165.027,179.579,-0.08103397390563497,-0.07166542530080285,0.017092318570086418,-0.5481145560455554,0.0,0.0
2073,165.302,180.296,-0.08316324266761325,-0.07387330192847029,0.015421871263344154,-0.6023873873998666,0.0,0.0
2074,167.794,183.124,-0.0837137677202332,-0.07615081983526162,0.01305201083813974,-0.5794469510300763,0.0,0.0
